id,displayBadges,highlight,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default
g1,Híbrido|Cobre|Enfriamiento,Enfriamiento con cobre para un sueño limpio y suave,La infusión de cobre NatuVerex disipa el calor,Espuma de memoria con cobre y espuma Hyper-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades","Sensación suave y acogedora para quienes duermen de lado",,,Espumas y resortes premium,"Enfriamiento con cobre e infusión de espumas especiales que aíslan el movimiento para un sueño limpio, fresco y suave"
g2,Híbrido|Cobre|Enfriamiento,Enfriamiento con cobre para un sueño limpio y suave,La infusión de cobre NatuVerex disipa el calor,Espuma de memoria con cobre y espuma Hyper-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,Sensación media perfecta para la mayoría,,Espumas y resortes premium,"Enfriamiento con cobre y espuma aislante de movimiento para un sueño limpio, fresco y suave"
g3,Híbrido|Cobre|Enfriamiento,Enfriamiento con cobre para un sueño limpio y suave,La infusión de cobre NatuVerex disipa el calor,Espuma de memoria con cobre y espuma Hyper-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Resortes encapsulados de cinco zonas, 948 unidades",,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,Espumas y resortes premium,"Enfriamiento con cobre y espuma aislante de movimiento para un sueño limpio, fresco y suave"
g4,Híbrido|Látex|Cosido a Mano,Híbrido de látex cosido a mano con garantía de por vida,Tecnología de cambio de fase — telas frescas al tacto que se ajustan a la temperatura,"Látex Talalay para una capa de confort natural, duradera y que alivia la presión. Transpirable, antimicrobiano e hipoalergénico",Los resortes encapsulados minimizan la perturbación de la pareja,UNIDAD DE RESORTES QUANTUM ENCAPSULADOS con 1575 resortes individuales de calibre 17,,Sensación media perfecta para la mayoría,,"Cosido a mano, garantía de por vida",Híbrido ultra premium cosido a mano con múltiples espumas especiales y garantía de por vida
g5,Híbrido|Cosido a Mano,Híbrido firme cosido a mano para soporte serio,Tecnología de cambio de fase — telas frescas al tacto que se ajustan a la temperatura,"Látex Talalay para una capa de confort natural, duradera y que alivia la presión. Transpirable, antimicrobiano e hipoalergénico",Los resortes encapsulados minimizan la perturbación de la pareja,UNIDAD DE RESORTES QUANTUM ENCAPSULADOS con 1575 resortes individuales de calibre 17,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,"Cosido a mano, garantía de por vida",Híbrido ultra premium cosido a mano con múltiples espumas especiales y garantía de por vida
g6,Híbrido|Cosido a Mano,Suavidad tipo nube con construcción de lujo cosida a mano,Tecnología de cambio de fase — telas frescas al tacto que se ajustan a la temperatura,"Látex Talalay para una capa de confort natural, duradera y que alivia la presión. Transpirable, antimicrobiano e hipoalergénico",Los resortes encapsulados minimizan la perturbación de la pareja,UNIDAD DE RESORTES QUANTUM ENCAPSULADOS con 1575 resortes individuales de calibre 17,Sensación suave tipo nube para quienes duermen de lado,,,"Cosido a mano, garantía de por vida",Híbrido ultra premium cosido a mano con múltiples espumas especiales y garantía de por vida
g7,Híbrido|Látex|Soporte Lumbar,Funda de seda y lana con resortes de doble calibre para soporte lumbar,La funda fresca de seda y lana damasco ayuda a regular la temperatura,Capas completas de espuma Serene y espuma de memoria Cool-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar","Sensación suave y acogedora para quienes duermen de lado",,,Cosido a mano,"Funda fresca de seda y lana damasco cosida a mano, múltiples espumas especiales, resortes encapsulados individualmente"
g8,Híbrido|Látex|Soporte Lumbar,Funda de seda y lana con resortes de doble calibre para soporte lumbar,La funda fresca de seda y lana damasco ayuda a regular la temperatura,Capas completas de espuma Serene y espuma de memoria Cool-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",,Sensación media perfecta para la mayoría,,Cosido a mano,"Funda fresca de seda y lana damasco cosida a mano, múltiples espumas especiales, resortes encapsulados individualmente"
g9,Híbrido|Látex|Soporte Lumbar,Funda de seda y lana con resortes de doble calibre para soporte lumbar,La funda fresca de seda y lana damasco ayuda a regular la temperatura,Capas completas de espuma Serene y espuma de memoria Cool-Gel,Los resortes encapsulados minimizan la perturbación de la pareja,"Cosido a mano, resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar",,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,Cosido a mano,"Funda fresca de seda y lana damasco cosida a mano, múltiples espumas especiales, resortes encapsulados individualmente"
g10,Híbrido|Enfriamiento|Soporte Lumbar,Espuma de enfriamiento multicapa con soporte lumbar zonificado,Funda de cambio de fase con enfriamiento máximo,Espuma Hyper Soft + Espuma Serene + Espuma de Memoria Gel para alivio excepcional de presión,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,Verdadera sensación suave tipo nube para quienes duermen de lado,,,,Combina confort refrescante con soporte zonificado que aísla el movimiento y múltiples capas de espuma que alivian la presión
g11,Híbrido|Enfriamiento|Soporte Lumbar,Espuma de enfriamiento multicapa con soporte lumbar zonificado,Funda de cambio de fase con enfriamiento máximo,Espuma Hyper Soft + Espuma Serene + Espuma de Memoria Gel para alivio de presión,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media perfecta para la mayoría,,,Combina confort refrescante con soporte zonificado que aísla el movimiento y múltiples capas de espuma que alivian la presión
g12,Híbrido|Enfriamiento|Soporte Lumbar,Espuma de enfriamiento multicapa con soporte lumbar zonificado,Funda de cambio de fase con enfriamiento máximo,Espuma Hyper Soft + Espuma Serene + Espuma de Memoria Gel para alivio de presión,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,,Combina confort refrescante con soporte zonificado que aísla el movimiento y múltiples capas de espuma que alivian la presión
g13,Híbrido|Enfriamiento|Funda PCM,Funda de hielo PCM con espuma de memoria gel para un sueño refrescante,La funda de Material de Cambio de Fase enfría activamente la superficie,Espuma de Memoria Gel reduce la presión + capas de espuma de confort,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,"Sensación suave y con soporte para quienes duermen de lado",,,,Funda de hielo PCM + espuma de memoria gel + resortes encapsulados para un sueño refrescante
g14,Híbrido|Enfriamiento|Funda PCM,Funda de hielo PCM con espuma de memoria gel para un sueño refrescante,La funda de Material de Cambio de Fase enfría activamente la superficie,Espuma de Memoria Gel reduce la presión + capas de espuma de confort,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,Sensación media perfecta para la mayoría,,,Funda de hielo PCM + espuma de memoria gel + resortes encapsulados para un sueño refrescante
g15,Híbrido|Enfriamiento|Funda PCM,Funda de hielo PCM con espuma de memoria gel para un sueño refrescante,La funda de Material de Cambio de Fase enfría activamente la superficie,Espuma de Memoria Gel reduce la presión + capas de espuma de confort,Los resortes encapsulados minimizan la perturbación de la pareja,Resorte Back Supporter de doble calibre — resortes centrales más firmes para soporte lumbar,,,Extra firme para quienes duermen boca abajo y personas de mayor contextura,,Funda de hielo PCM + espuma de memoria gel + resortes encapsulados para un sueño refrescante
g16,Híbrido|Enfriamiento|Soporte Zonificado,Espuma de gel fresco con resortes zonificados para alineación espinal,La lujosa funda de enfriamiento absorbe la humedad y el calor,La espuma de gel fresco se adapta al cuerpo para aliviar la presión,Los resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,,Sensación extra firme para quienes duermen boca arriba y boca abajo,,"Espuma de gel fresco, resortes encapsulados zonificados, soporte dirigido y alineación espinal"
g17,Híbrido|Enfriamiento|Soporte Zonificado,Espuma de gel fresco con resortes zonificados para alineación espinal,La lujosa funda de enfriamiento absorbe la humedad y el calor,La espuma de gel fresco se adapta al cuerpo para aliviar la presión,Los resortes encapsulados minimizan la perturbación de la pareja,Marvelous Middle brinda 25% más soporte central,,Sensación media-suave perfecta para la mayoría,,,"Espuma de gel fresco, resortes encapsulados zonificados, soporte dirigido y alineación espinal"
